product_name,product_type,clean_ingreds,ingredients_list,num_ingredients,price_idr,price_category,ingreds_text,ingredients_str,cluster,cluster_label
The Ordinary Natural Moisturising Factors + HA 30ml,Moisturiser,"['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']","['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']",45,104000.0,Low,capric triglyceride cetyl alcohol propanediol stearyl alcohol glycerin sodium hyaluronate arganine aspartic acid glycine alanine serine valine isoleucine proline threonine histidine phenylalanine glucose maltose fructose trehalose sodium pca pca sodium lactate urea allantoin linoleic acid oleic acid phytosteryl canola glycerides palmitic acid stearic acid lecithin triolein tocopherol carbomer isoceteth-20 polysorbate 60 sodium chloride citric acid trisodium ethylenediamine disuccinate pentylene glycol triethanolamine sodium hydroxide phenoxyethanol chlorphenesin,capric_triglyceride cetyl_alcohol propanediol stearyl_alcohol glycerin sodium_hyaluronate arganine aspartic_acid glycine alanine serine valine isoleucine proline threonine histidine phenylalanine glucose maltose fructose trehalose sodium_pca pca sodium_lactate urea allantoin linoleic_acid oleic_acid phytosteryl_canola_glycerides palmitic_acid stearic_acid lecithin triolein tocopherol carbomer isoceteth-20 polysorbate_60 sodium_chloride citric_acid trisodium_ethylenediamine_disuccinate pentylene_glycol triethanolamine sodium_hydroxide phenoxyethanol chlorphenesin,1,Hydrating & Anti-Aging
CeraVe Facial Moisturising Lotion SPF 25 52ml,Moisturiser,"['homosalate', 'glycerin', 'octocrylene', 'ethylhexyl', 'salicylate', 'niacinamide', 'silica', 'butyl methoxydibenzoylmethane', 'dimethicon', 'cetearyl alcohol', 'peg-100 stearate', 'glyceryl stearate', 'phenoxyethanol', 'stearic acid', 'behentrimonium methosulfate', 'caprylyl glycol', 'palmitic acid', 'ammonium polyacryloyldmethyl taurate', 'xanthan gum', 'disodium edta', 'tocopherol', 'sodium lauroyl', 'myristic acid', 'sodium hyaluronate', 'ceramide np', 'ceramide ap', 'phytosphingosine', 'cholesterol', 'cerbomer', 'ethylhexyl glycerin', 'ceramide eop']","['homosalate', 'glycerin', 'octocrylene', 'ethylhexyl', 'salicylate', 'niacinamide', 'silica', 'butyl methoxydibenzoylmethane', 'dimethicon', 'cetearyl alcohol', 'peg-100 stearate', 'glyceryl stearate', 'phenoxyethanol', 'stearic acid', 'behentrimonium methosulfate', 'caprylyl glycol', 'palmitic acid', 'ammonium polyacryloyldmethyl taurate', 'xanthan gum', 'disodium edta', 'tocopherol', 'sodium lauroyl', 'myristic acid', 'sodium hyaluronate', 'ceramide np', 'ceramide ap', 'phytosphingosine', 'cholesterol', 'cerbomer', 'ethylhexyl glycerin', 'ceramide eop']",31,260000.0,Medium,homosalate glycerin octocrylene ethylhexyl salicylate niacinamide silica butyl methoxydibenzoylmethane dimethicon cetearyl alcohol peg-100 stearate glyceryl stearate phenoxyethanol stearic acid behentrimonium methosulfate caprylyl glycol palmitic acid ammonium polyacryloyldmethyl taurate xanthan gum disodium edta tocopherol sodium lauroyl myristic acid sodium hyaluronate ceramide np ceramide ap phytosphingosine cholesterol cerbomer ethylhexyl glycerin ceramide eop,homosalate glycerin octocrylene ethylhexyl salicylate niacinamide silica butyl_methoxydibenzoylmethane dimethicon cetearyl_alcohol peg-100_stearate glyceryl_stearate phenoxyethanol stearic_acid behentrimonium_methosulfate caprylyl_glycol palmitic_acid ammonium_polyacryloyldmethyl_taurate xanthan_gum disodium_edta tocopherol sodium_lauroyl myristic_acid sodium_hyaluronate ceramide_np ceramide_ap phytosphingosine cholesterol cerbomer ethylhexyl_glycerin ceramide_eop,1,Hydrating & Anti-Aging
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,Moisturiser,"['sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'ahnfeltia concinna extract', 'glycerin', 'pentylene glycol', 'propanediol', 'polyacrylate crosspolymer-6', 'ppg-26 buteth-26', 'castor oil', 'trisodium ethylenediamine disuccinate', 'citric acid', 'ethoxydiglycol', 'caprylyl glycol', 'hexylene glycol', 'ethylhexyl glycerin', 'phenoxyethanol', 'chlorphenesin']","['sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'ahnfeltia concinna extract', 'glycerin', 'pentylene glycol', 'propanediol', 'polyacrylate crosspolymer-6', 'ppg-26 buteth-26', 'castor oil', 'trisodium ethylenediamine disuccinate', 'citric acid', 'ethoxydiglycol', 'caprylyl glycol', 'hexylene glycol', 'ethylhexyl glycerin', 'phenoxyethanol', 'chlorphenesin']",18,124000.0,Low,sodium hyaluronate sodium hyaluronate panthenol ahnfeltia concinna extract glycerin pentylene glycol propanediol polyacrylate crosspolymer-6 ppg-26 buteth-26 castor oil trisodium ethylenediamine disuccinate citric acid ethoxydiglycol caprylyl glycol hexylene glycol ethylhexyl glycerin phenoxyethanol chlorphenesin,sodium_hyaluronate sodium_hyaluronate panthenol ahnfeltia_concinna_extract glycerin pentylene_glycol propanediol polyacrylate_crosspolymer-6 ppg-26_buteth-26 castor_oil trisodium_ethylenediamine_disuccinate citric_acid ethoxydiglycol caprylyl_glycol hexylene_glycol ethylhexyl_glycerin phenoxyethanol chlorphenesin,1,Hydrating & Anti-Aging
AMELIORATE Transforming Body Lotion 200ml,Moisturiser,"['ammonium lactate', 'c12-15', 'glycerin', 'prunus amygdalus dulcis', 'ethylhexyl palmitate', 'cetearyl alcohol', 'glyceryl stearate', 'peg-100 stearate', 'dimethicon', 'hydroxyethyl cellulose', 'phenoxyethanol', 'cetearyl glucoside', 'xanthan gum', 'sodium benzoate', 'sodium stearoyl glutamate', 'tocopheryl acetate', 'parfum', 'potassium sorbate', 'pentylene glycol', 'hydrolyzed lactis proteinum', 'disodium edta', 'lactic acid', 'serine', 'sodium lactate', 'sorbitol', 'urea', 'linalool', 'citronellol', 'sodium chloride', 'citrus aurantium dulcis', 'limonene', 'coumarin', 'juniperus mexicana oil', 'alpha-isomethyl ionone', 'allantoin', 'pelargonium graveolens extract', 'geraniol']","['ammonium lactate', 'c12-15', 'glycerin', 'prunus amygdalus dulcis', 'ethylhexyl palmitate', 'cetearyl alcohol', 'glyceryl stearate', 'peg-100 stearate', 'dimethicon', 'hydroxyethyl cellulose', 'phenoxyethanol', 'cetearyl glucoside', 'xanthan gum', 'sodium benzoate', 'sodium stearoyl glutamate', 'tocopheryl acetate', 'parfum', 'potassium sorbate', 'pentylene glycol', 'hydrolyzed lactis proteinum', 'disodium edta', 'lactic acid', 'serine', 'sodium lactate', 'sorbitol', 'urea', 'linalool', 'citronellol', 'sodium chloride', 'citrus aurantium dulcis', 'limonene', 'coumarin', 'juniperus mexicana oil', 'alpha-isomethyl ionone', 'allantoin', 'pelargonium graveolens extract', 'geraniol']",37,450000.0,Medium,ammonium lactate c12-15 glycerin prunus amygdalus dulcis ethylhexyl palmitate cetearyl alcohol glyceryl stearate peg-100 stearate dimethicon hydroxyethyl cellulose phenoxyethanol cetearyl glucoside xanthan gum sodium benzoate sodium stearoyl glutamate tocopheryl acetate parfum potassium sorbate pentylene glycol hydrolyzed lactis proteinum disodium edta lactic acid serine sodium lactate sorbitol urea linalool citronellol sodium chloride citrus aurantium dulcis limonene coumarin juniperus mexicana oil alpha-isomethyl ionone allantoin pelargonium graveolens extract geraniol,ammonium_lactate c12-15 glycerin prunus_amygdalus_dulcis ethylhexyl_palmitate cetearyl_alcohol glyceryl_stearate peg-100_stearate dimethicon hydroxyethyl_cellulose phenoxyethanol cetearyl_glucoside xanthan_gum sodium_benzoate sodium_stearoyl_glutamate tocopheryl_acetate parfum potassium_sorbate pentylene_glycol hydrolyzed_lactis_proteinum disodium_edta lactic_acid serine sodium_lactate sorbitol urea linalool citronellol sodium_chloride citrus_aurantium_dulcis limonene coumarin juniperus_mexicana_oil alpha-isomethyl_ionone allantoin pelargonium_graveolens_extract geraniol,1,Hydrating & Anti-Aging
CeraVe Moisturising Cream 454g,Moisturiser,"['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'behentrimonium methosulfate', 'cetearyl alcohol', 'cetyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'sodium hyaluronate', 'cholesterol', 'petrolatum', 'dimethicon', 'potassium phosphate', 'dipotassium phosphate', 'sodium lauroyl', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'propylparaben', 'phytosphingosine', 'carbomer', 'xanthan gum']","['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'behentrimonium methosulfate', 'cetearyl alcohol', 'cetyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'sodium hyaluronate', 'cholesterol', 'petrolatum', 'dimethicon', 'potassium phosphate', 'dipotassium phosphate', 'sodium lauroyl', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'propylparaben', 'phytosphingosine', 'carbomer', 'xanthan gum']",23,320000.0,Medium,glycerin cetearyl alcohol capric triglyceride behentrimonium methosulfate cetearyl alcohol cetyl alcohol ceramide 3 ceramide 6 ii ceramide 1 sodium hyaluronate cholesterol petrolatum dimethicon potassium phosphate dipotassium phosphate sodium lauroyl disodium edta phenoxyethanol methylparaben propylparaben phytosphingosine carbomer xanthan gum,glycerin cetearyl_alcohol capric_triglyceride behentrimonium_methosulfate cetearyl_alcohol cetyl_alcohol ceramide_3 ceramide_6_ii ceramide_1 sodium_hyaluronate cholesterol petrolatum dimethicon potassium_phosphate dipotassium_phosphate sodium_lauroyl disodium_edta phenoxyethanol methylparaben propylparaben phytosphingosine carbomer xanthan_gum,1,Hydrating & Anti-Aging
CeraVe Moisturising Lotion 473ml,Moisturiser,"['glycerin', 'capric triglyceride', 'cetearyl alcohol', 'cetyl alcohol', 'dimethicon', 'phenoxyethanol', 'polysorbate-20', 'ceteareth 20', 'behentrimonium methosulfate', 'polyglyceryl-3 diisostearate', 'sodium lauroyl', 'ethylhexyl glycerin', 'potassium phosphate', 'disodium edta', 'dipotassium phosphate', 'ceramide np', 'ceramide ap', 'phytosphingosine', 'cholesterol', 'xanthan gum', 'carbomer', 'sodium hyaluronate', 'tocopherol', 'ceramide eop']","['glycerin', 'capric triglyceride', 'cetearyl alcohol', 'cetyl alcohol', 'dimethicon', 'phenoxyethanol', 'polysorbate-20', 'ceteareth 20', 'behentrimonium methosulfate', 'polyglyceryl-3 diisostearate', 'sodium lauroyl', 'ethylhexyl glycerin', 'potassium phosphate', 'disodium edta', 'dipotassium phosphate', 'ceramide np', 'ceramide ap', 'phytosphingosine', 'cholesterol', 'xanthan gum', 'carbomer', 'sodium hyaluronate', 'tocopherol', 'ceramide eop']",24,300000.0,Medium,glycerin capric triglyceride cetearyl alcohol cetyl alcohol dimethicon phenoxyethanol polysorbate-20 ceteareth 20 behentrimonium methosulfate polyglyceryl-3 diisostearate sodium lauroyl ethylhexyl glycerin potassium phosphate disodium edta dipotassium phosphate ceramide np ceramide ap phytosphingosine cholesterol xanthan gum carbomer sodium hyaluronate tocopherol ceramide eop,glycerin capric_triglyceride cetearyl_alcohol cetyl_alcohol dimethicon phenoxyethanol polysorbate-20 ceteareth_20 behentrimonium_methosulfate polyglyceryl-3_diisostearate sodium_lauroyl ethylhexyl_glycerin potassium_phosphate disodium_edta dipotassium_phosphate ceramide_np ceramide_ap phytosphingosine cholesterol xanthan_gum carbomer sodium_hyaluronate tocopherol ceramide_eop,1,Hydrating & Anti-Aging
CeraVe Facial Moisturising Lotion No SPF 52ml,Moisturiser,"['glycerin', 'capric triglyceride', 'niacinamide', 'cetearyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'phytosphingosine', 'sodium hyaluronate', 'sodium hydroxide', 'dimethicon', 'behentrimonium methosulfate', 'ceteareth 20', 'polyglyceryl-3 diisostearate', 'cholesterol', 'xanthan gum', 'carbomer', 'disodium edta', 'dipotassium phosphate', 'potassium phosphate', 'sodium lauroyl']","['glycerin', 'capric triglyceride', 'niacinamide', 'cetearyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'phytosphingosine', 'sodium hyaluronate', 'sodium hydroxide', 'dimethicon', 'behentrimonium methosulfate', 'ceteareth 20', 'polyglyceryl-3 diisostearate', 'cholesterol', 'xanthan gum', 'carbomer', 'disodium edta', 'dipotassium phosphate', 'potassium phosphate', 'sodium lauroyl']",21,260000.0,Medium,glycerin capric triglyceride niacinamide cetearyl alcohol ceramide 3 ceramide 6 ii ceramide 1 phytosphingosine sodium hyaluronate sodium hydroxide dimethicon behentrimonium methosulfate ceteareth 20 polyglyceryl-3 diisostearate cholesterol xanthan gum carbomer disodium edta dipotassium phosphate potassium phosphate sodium lauroyl,glycerin capric_triglyceride niacinamide cetearyl_alcohol ceramide_3 ceramide_6_ii ceramide_1 phytosphingosine sodium_hyaluronate sodium_hydroxide dimethicon behentrimonium_methosulfate ceteareth_20 polyglyceryl-3_diisostearate cholesterol xanthan_gum carbomer disodium_edta dipotassium_phosphate potassium_phosphate sodium_lauroyl,1,Hydrating & Anti-Aging
The Ordinary Natural Moisturizing Factors + HA 100ml,Moisturiser,"['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']","['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']",45,136000.0,Low,capric triglyceride cetyl alcohol propanediol stearyl alcohol glycerin sodium hyaluronate arganine aspartic acid glycine alanine serine valine isoleucine proline threonine histidine phenylalanine glucose maltose fructose trehalose sodium pca pca sodium lactate urea allantoin linoleic acid oleic acid phytosteryl canola glycerides palmitic acid stearic acid lecithin triolein tocopherol carbomer isoceteth-20 polysorbate 60 sodium chloride citric acid trisodium ethylenediamine disuccinate pentylene glycol triethanolamine sodium hydroxide phenoxyethanol chlorphenesin,capric_triglyceride cetyl_alcohol propanediol stearyl_alcohol glycerin sodium_hyaluronate arganine aspartic_acid glycine alanine serine valine isoleucine proline threonine histidine phenylalanine glucose maltose fructose trehalose sodium_pca pca sodium_lactate urea allantoin linoleic_acid oleic_acid phytosteryl_canola_glycerides palmitic_acid stearic_acid lecithin triolein tocopherol carbomer isoceteth-20 polysorbate_60 sodium_chloride citric_acid trisodium_ethylenediamine_disuccinate pentylene_glycol triethanolamine sodium_hydroxide phenoxyethanol chlorphenesin,1,Hydrating & Anti-Aging
CeraVe Smoothing Cream 177ml,Moisturiser,"['glycerin', 'behentrimonium methosulfate', 'cetearyl alcohol', 'paraffinum liquidum', 'glyceryl stearate se', 'ammonium lactate', 'salicylic acid', 'triethanolamine', 'cetyl alcohol', 'niacinamide', 'peg-100 stearate', 'vitamin d3', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'cholesterol', 'phytosphingosine', 'sodium hyaluronate', 'phenoxyethanol', 'dimethicon', 'methylparaben', 'edetate disodium', 'propylparaben', 'sodium lauroyl', 'carbomer', 'xanthan gum']","['glycerin', 'behentrimonium methosulfate', 'cetearyl alcohol', 'paraffinum liquidum', 'glyceryl stearate se', 'ammonium lactate', 'salicylic acid', 'triethanolamine', 'cetyl alcohol', 'niacinamide', 'peg-100 stearate', 'vitamin d3', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'cholesterol', 'phytosphingosine', 'sodium hyaluronate', 'phenoxyethanol', 'dimethicon', 'methylparaben', 'edetate disodium', 'propylparaben', 'sodium lauroyl', 'carbomer', 'xanthan gum']",26,240000.0,Medium,glycerin behentrimonium methosulfate cetearyl alcohol paraffinum liquidum glyceryl stearate se ammonium lactate salicylic acid triethanolamine cetyl alcohol niacinamide peg-100 stearate vitamin d3 ceramide 3 ceramide 6 ii ceramide 1 cholesterol phytosphingosine sodium hyaluronate phenoxyethanol dimethicon methylparaben edetate disodium propylparaben sodium lauroyl carbomer xanthan gum,glycerin behentrimonium_methosulfate cetearyl_alcohol paraffinum_liquidum glyceryl_stearate_se ammonium_lactate salicylic_acid triethanolamine cetyl_alcohol niacinamide peg-100_stearate vitamin_d3 ceramide_3 ceramide_6_ii ceramide_1 cholesterol phytosphingosine sodium_hyaluronate phenoxyethanol dimethicon methylparaben edetate_disodium propylparaben sodium_lauroyl carbomer xanthan_gum,1,Hydrating & Anti-Aging
Clinique Moisture Surge 72 Hour Moisturiser 75ml,Moisturiser,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'tromethamine', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']","['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'tromethamine', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']",35,740000.0,High,dimethicon butylene glycol glycerin trisiloxane trehalose sucrose ammonium acryloyldimethyltaurate/vp hydroxyethyl urea camellia sinensis extract silybum marianum extract betula alba bark extract saccharomyces lysate extract aloe barbadenis extract thermus thermophillus ferment caffeinee sorbitol palmitoyl hexapeptide-12 sodium hyaluronate caprylyl glycol oleth-10 sodium polyaspartate saccharide isomerate hydrogenated lecithin tocopheryl acetate acrylates/c10-30 alkyl glyceryl polymethacrylate tromethamine peg-8 hexylene glycol magnesium ascorbyl phosphate disodium edta bht phenoxyethanol ci 14700 ci 19140,dimethicon butylene_glycol glycerin trisiloxane trehalose sucrose ammonium_acryloyldimethyltaurate/vp hydroxyethyl_urea camellia_sinensis_extract silybum_marianum_extract betula_alba_bark_extract saccharomyces_lysate_extract aloe_barbadenis_extract thermus_thermophillus_ferment caffeinee sorbitol palmitoyl_hexapeptide-12 sodium_hyaluronate caprylyl_glycol oleth-10 sodium_polyaspartate saccharide_isomerate hydrogenated_lecithin tocopheryl_acetate acrylates/c10-30_alkyl glyceryl_polymethacrylate tromethamine peg-8 hexylene_glycol magnesium_ascorbyl_phosphate disodium_edta bht phenoxyethanol ci_14700 ci_19140,1,Hydrating & Anti-Aging
